Time,CameraY,RHandY,LHandY
0,0.47,0.4585589,0.4585589
0.05,0.5368614,0.4833624,0.4833624
0.1,0.5480319,0.4833624,0.4833624
0.15,0.5474402,0.4833624,0.4833624
0.2,0.5314563,0.4833624,0.4833624
0.25,0.5178365,0.4833624,0.4833624
0.3,0.5095185,0.4833624,0.4833624
0.35,0.5031031,0.4833624,0.4833624
0.4,0.4980789,0.4833624,0.4833624
0.45,0.4953032,0.4833624,0.4833624
0.5000001,0.5030715,0.4833624,0.4833624
0.5500001,0.5298911,0.4833624,0.4833624
0.6000001,0.5439759,0.4833624,0.4833624
0.6500001,0.5499995,0.4833624,0.4833624
0.7000001,0.5372133,0.4833624,0.4833624
0.7500001,0.5255591,0.4833624,0.4833624
0.8000001,0.5127656,0.4833624,0.4833624
0.8500001,0.504135,0.4833623,0.4833623
0.9000002,0.4981804,0.4833623,0.4833623
0.9500002,0.4955181,0.4833623,0.4833623
1,0.5000706,0.4833623,0.4833623
1.05,0.5300289,0.4833623,0.4833623
1.1,0.5463215,0.4833623,0.4833623
1.15,0.5477609,0.4833623,0.4833623
1.2,0.5302815,0.4833623,0.4833623
1.25,0.518276,0.4833623,0.4833623
1.3,0.5092016,0.4833623,0.4833623
1.35,0.5017469,0.4833623,0.4833623
1.4,0.4974016,0.4833623,0.4833623
1.45,0.494999,0.4833623,0.4833623
1.5,0.5103769,0.4833623,0.4833623
1.55,0.5354369,0.4833623,0.4833623
1.6,0.5477803,0.4833623,0.4833623
1.649999,0.5474461,0.4833623,0.4833623
1.699999,0.5339397,0.4833623,0.4833623
1.749999,0.5211948,0.4833623,0.4833623
1.799999,0.5113998,0.4833623,0.4833623
1.849999,0.5029664,0.4833623,0.4833623
1.899999,0.4984285,0.4833623,0.4833623
1.949999,0.4952704,0.4833623,0.4833623
1.999999,0.5077159,0.4833623,0.4833623
2.049999,0.5289279,0.4833623,0.4833623
2.099999,0.5465506,0.4833623,0.4833623
2.149999,0.5473318,0.4833622,0.4833622
2.199999,0.5340143,0.4833623,0.4833623
2.249999,0.520008,0.4833623,0.4833623
2.299999,0.5089185,0.4833623,0.4833623
2.349999,0.5016246,0.4833623,0.4833623
2.399999,0.4973317,0.4833623,0.4833623
2.449999,0.4949783,0.4833623,0.4833623
2.499999,0.5176659,0.4833623,0.4833623
2.549999,0.5390038,0.4833623,0.4833623
2.599999,0.5497329,0.4833623,0.4833623
2.649999,0.538871,0.4833623,0.4833623
2.699999,0.5264349,0.4833623,0.4833623
2.749999,0.5140011,0.4833623,0.4833623
2.799999,0.5054805,0.4833623,0.4833623
2.849998,0.4997551,0.4833622,0.4833622
2.899998,0.4957378,0.4833623,0.4833623
2.949998,0.4989671,0.4833623,0.4833623
2.999998,0.5244036,0.4833622,0.4833622
3.049998,0.5427709,0.4833623,0.4833623
3.099998,0.5502396,0.4833622,0.4833622
3.149998,0.5342257,0.4833622,0.4833622
3.199998,0.520066,0.4833622,0.4833622
3.249998,0.5090584,0.4833622,0.4833622
3.299998,0.5028937,0.4833622,0.4833622
3.349998,0.4977973,0.4833622,0.4833622
3.399998,0.4952487,0.4833622,0.4833622
3.449998,0.5105677,0.4833622,0.4833622
3.499998,0.5354413,0.4833622,0.4833622
3.549998,0.5485353,0.4833622,0.4833622
3.599998,0.5433922,0.4833622,0.4833622
3.649998,0.5302708,0.4833621,0.4833621
3.699998,0.5177224,0.4833622,0.4833622
3.749998,0.5094405,0.4833622,0.4833622
3.799998,0.5012535,0.4833622,0.4833622
3.849998,0.4966789,0.4833622,0.4833622
3.899997,0.494804,0.4833621,0.4833621
3.949997,0.5230446,0.4833622,0.4833622
3.999997,0.5396227,0.4833622,0.4833622
4.049997,0.5485954,0.4833621,0.4833621
4.099998,0.5423598,0.4833621,0.4833621
4.149998,0.5300264,0.4833621,0.4833621
4.199998,0.519829,0.4833621,0.4833621
4.249998,0.5098177,0.4833621,0.4833621
4.299998,0.5012208,0.4833622,0.4833622
4.349998,0.497293,0.4833622,0.4833622
4.399999,0.4949719,0.4833621,0.4833621
4.449999,0.5188767,0.4833621,0.4833621
4.499999,0.5391443,0.4833621,0.4833621
4.549999,0.5497131,0.4833622,0.4833622
4.599999,0.5378934,0.4833621,0.4833621
4.65,0.5231286,0.4833621,0.4833621
4.7,0.5112926,0.4833622,0.4833622
4.75,0.5029042,0.4833621,0.4833621
4.8,0.497751,0.4833621,0.4833621
4.85,0.4954129,0.4833621,0.4833621
4.900001,0.5026696,0.4833621,0.4833621
4.950001,0.5303479,0.4833622,0.4833622
5.000001,0.5465033,0.483362,0.483362
5.050001,0.5480227,0.4833621,0.4833621
5.100001,0.5339105,0.4833621,0.4833621
5.150002,0.5209789,0.483362,0.483362
5.200002,0.5122597,0.4833621,0.4833621
5.250002,0.5046712,0.4833621,0.4833621
5.300002,0.4983912,0.4833621,0.4833621
5.350002,0.4952459,0.4833621,0.4833621
5.400002,0.5110707,0.4833621,0.4833621
5.450003,0.5346646,0.4833621,0.4833621
5.500003,0.5463583,0.4833621,0.4833621
5.550003,0.5502403,0.483362,0.483362
5.600003,0.5336511,0.4833621,0.4833621
5.650003,0.5228943,0.4833621,0.4833621
5.700004,0.5117183,0.483362,0.483362
5.750004,0.5028704,0.4833621,0.4833621
5.800004,0.4983757,0.483362,0.483362
5.850004,0.4952397,0.4833621,0.4833621
5.900004,0.5026622,0.4833621,0.4833621
5.950005,0.5294369,0.483362,0.483362
6.000005,0.54318,0.483362,0.483362
6.050005,0.5502397,0.483362,0.483362
6.100005,0.5337766,0.483362,0.483362
6.150005,0.5205981,0.4833621,0.4833621
6.200006,0.511348,0.483362,0.483362
6.250006,0.5029197,0.483362,0.483362
