Time,CameraY,RHandY,LHandY
0.06,-0.69,0.3826391,0.9237725
0.12,-0.69,0.3826391,0.9237725
0.18,-0.69,0.3826391,0.9237725
0.24,-0.69,0.3826391,0.9237725
0.3,-0.69,0.3826391,0.9237725
0.36,-0.69,0.3826391,0.9237725
0.42,-0.69,0.3826391,0.9237725
0.4800001,-0.69,0.3826391,0.9237725
0.54,-0.69,0.3826391,0.9237725
0.6,-0.69,0.3826391,0.9237725
0.6599999,-0.69,0.3826391,0.9237725
0.7199998,-0.69,0.3826391,0.9237725
0.7799998,-0.69,0.3826391,0.9237725
0.8399997,-0.69,0.3826391,0.9237725
0.8999997,-0.69,0.3826391,0.9237725
0.9599996,-0.69,0.3826391,0.9237725
1.02,-0.69,0.3826391,0.9237725
1.08,-0.69,0.3826391,0.9237725
1.14,-0.69,0.3826391,0.9237725
1.199999,-0.69,0.3826391,0.9237725
1.259999,-0.69,0.3826391,0.9237725
1.319999,-0.69,0.3826391,0.9237725
1.379999,-0.69,0.3826391,0.9237725
1.439999,-0.69,0.3826391,0.9237725
1.499999,-0.69,0.3826391,0.9237725
1.559999,-0.69,0.3826391,0.9237725
1.619999,-0.69,0.3826391,0.9237725
1.679999,-0.69,0.3826391,0.9237725
1.739999,-0.69,0.3826391,0.9237725
1.799999,-0.69,0.3826391,0.9237725
1.859999,-0.69,0.3826391,0.9237725
1.919999,-0.69,0.3826391,0.9237725
1.979999,-0.69,0.3826391,0.9237725
