Time,CameraY,RHandY,LHandY
0,0.4899585,0.3823192,0.9230003
0.05,0.5055131,0.4584384,0.8876552
0.1,0.5020152,0.4946849,0.8679771
0.15,0.4988922,0.5346241,0.8439636
0.2,0.4967944,0.5703856,0.8202181
0.25,0.4954521,0.6047893,0.7951901
0.3,0.4948038,0.6479572,0.7604268
0.35,0.5124177,0.6827498,0.7293492
0.4,0.5299194,0.7236977,0.6887373
0.45,0.5394435,0.7526101,0.6570202
0.5000001,0.5459641,0.7800409,0.6242064
0.5500001,0.5495602,0.8065466,0.5895592
0.6000001,0.5473446,0.8311137,0.5543893
0.6500001,0.5387293,0.8545188,0.5175857
0.7000001,0.5305507,0.8772343,0.4780769
0.7500001,0.5238333,0.8963388,0.441219
0.8000001,0.5172875,0.9154565,0.4000463
0.8500001,0.5117492,0.9141243,0.4030811
0.9000002,0.5071472,0.8962106,0.4414794
0.9500002,0.5030562,0.8754202,0.4813907
1,0.4997935,0.8529152,0.5202241
1.05,0.4965374,0.8176164,0.5741088
1.1,0.4952977,0.7920843,0.6088512
1.15,0.4948092,0.7644538,0.6432014
1.2,0.5088846,0.7374579,0.6739832
1.25,0.523633,0.7065737,0.7062939
1.3,0.5356464,0.6725791,0.7387387
1.35,0.5432408,0.6415117,0.7658722
1.4,0.5483416,0.6067645,0.7936841
1.45,0.5483525,0.560149,0.8272429
1.5,0.5374523,0.5135259,0.8569647
1.55,0.5293362,0.4735754,0.8796725
1.6,0.522498,0.4351708,0.8992908
1.649999,0.5151452,0.3870044,0.9210457
1.699999,0.5097123,0.4009965,0.9150406
1.749999,0.50529,0.4406806,0.8966036
1.799999,0.5007425,0.4904761,0.8703624
1.849999,0.4976208,0.5361811,0.8429753
1.899999,0.4956519,0.5802975,0.8132356
1.949999,0.4948791,0.6166278,0.7860455
1.999999,0.5042737,0.6496605,0.7589721
2.049999,0.5193255,0.681602,0.730422
2.099999,0.5343977,0.7211003,0.6914563
2.149999,0.5426951,0.7503952,0.6595486
2.199999,0.5489721,0.786722,0.6157644
2.249999,0.5475869,0.8178643,0.5737556
2.299999,0.5387954,0.8425698,0.536818
2.349999,0.5309269,0.8652495,0.4994406
2.399999,0.5221587,0.8913307,0.4512508
2.449999,0.5157371,0.9111599,0.4097381
2.499999,0.5095934,0.9155909,0.3997385
2.549999,0.5042268,0.8924246,0.4490833
2.599999,0.5006593,0.8709786,0.4893812
2.649999,0.49808,0.8492001,0.5262667
2.699999,0.4961471,0.8242282,0.5645754
2.749999,0.4951236,0.7999616,0.5984638
2.799999,0.4964303,0.7730774,0.6328104
2.849998,0.512889,0.7451381,0.6654823
2.899998,0.5296284,0.70725,0.7056167
2.949998,0.5413678,0.667472,0.7433564
2.999998,0.5474381,0.6326932,0.7731732
3.049998,0.5499895,0.6003376,0.7985564
3.099998,0.5426942,0.5557957,0.8301739
3.149998,0.5343233,0.518254,0.8541137
3.199998,0.5253966,0.4721747,0.8804252
3.249998,0.516699,0.4186193,0.9071138
3.299998,0.5106705,0.3737437,0.9265059
3.349998,0.5049701,0.4249186,0.9041801
3.399998,0.5014494,0.4633343,0.8851095
3.449998,0.4982259,0.5080181,0.8602412
3.499998,0.4961142,0.5500295,0.8340054
3.549998,0.4949472,0.5941222,0.8031912
3.599998,0.5055459,0.6361377,0.7703415
3.649998,0.5208216,0.6696677,0.7413789
3.699998,0.5353114,0.7093049,0.7035511
3.749998,0.5448721,0.7464952,0.6639597
3.799998,0.5496397,0.7813459,0.6225721
3.849998,0.5437903,0.8165484,0.5756267
3.899997,0.5360723,0.8391495,0.5421492
3.949997,0.5267504,0.8673276,0.4958228
3.999997,0.5200195,0.8884551,0.4568863
4.049997,0.5142289,0.9073513,0.4181043
4.099998,0.5076206,0.9108675,0.4103872
4.149998,0.5037441,0.8930613,0.4478159
4.199998,0.4997936,0.8679964,0.494651
4.249998,0.4969135,0.8395243,0.5415686
4.299998,0.4952719,0.8090612,0.5861035
4.349998,0.4983735,0.7745437,0.6310146
4.399999,0.5182619,0.7390957,0.6721866
4.449999,0.5332035,0.7019511,0.7108882
4.499999,0.5422288,0.668816,0.7421472
4.549999,0.5485616,0.6278316,0.777126
4.599999,0.5502393,0.5936146,0.8035665
4.65,0.542686,0.5615757,0.8262749
4.7,0.5315764,0.5108726,0.8585491
4.75,0.524665,0.474235,0.8793171
4.8,0.5166971,0.4249646,0.9041585
4.85,0.5112775,0.3851383,0.9218274
4.900001,0.5056357,0.3956169,0.9173793
4.950001,0.5009529,0.4472923,0.8933235
5.000001,0.4976805,0.4958109,0.8673344
5.050001,0.4960428,0.5309428,0.8462844
5.100001,0.4949197,0.5760827,0.8162268
5.150002,0.5071653,0.6200993,0.7833097
5.200002,0.5252759,0.662285,0.7479813
5.250002,0.53683,0.6966352,0.7160983
5.300002,0.5457799,0.7346011,0.6770957
5.350002,0.5494773,0.763355,0.6445047
5.400002,0.5477142,0.7902703,0.6112038
5.450003,0.5372568,0.8217255,0.5682116
5.500003,0.5279781,0.8507537,0.5237514
5.550003,0.520399,0.8755126,0.4812227
5.600003,0.5137302,0.8983987,0.4370095
5.650003,0.5076111,0.9207799,0.3876363
5.700004,0.5026256,0.8980841,0.4376555
